DATE,NAME,Number of Units,Units,Branch,SCALE,Location,Latitude,Longitude,Type of Operation,Planning,Tactical Outcomes,Casualties,Enemy Casualties,Details,Air Force,Link
"October 4, 1969",Kontrabass 1,1,,,Medium,Itron,33.1156583,35.4692972,Raid Demolition,Planned,,,,,,
"October 4, 1969",Kalgas,2,"Golani,Sayeret Egoz",,Medium,"Tel Sader Al Arous, Arab Zrihan",33.3169389,35.650925,Raid Demolition,Planned,,,,,,
"October 25, 1969",Tarnegol 5 B,1,,,Medium,Suhaj Bridge,26.55,31.7,Bombardment,Planned,Failure,,,,,
"October 25, 1969",Tarnegol 169,1,Sayeret Matkal,,Small,Safga Kina road,26.7333333,33.9333333,Kidnapping,Planned,Failure,,,,,
"October 28, 1969",Tarnegol 25,1,Sayeret Paratroopers,,Small,Road from Ras Rareb and Ras Zafrana,28.3738889,33.0627778,Ambush,Planned,Success,,3 Soldiers,,,
"December 23, 1969",Buffalo,1,Paratroopers,,Medium,Port Sfaga Naval Base,26.7333333,33.9333333,Nartan Mortars,Planed,Partial,,,,,
"December 26, 1969",Rooster 53,2,"Paratroopers,Sayeret Paratroopers",,Medium,Ras Ghareb,28.3738889,33.0627778,Stealing of Radar,Planned,Success,,,First operation with Yassur.,,
"January 2, 1970",Conrabass 10,3,Golani,,Medium,Kila,33.2784167,35.5543361,Raid,Planned,Success,,,,,http://golani.millenium.org.il/Web/Units/Palsar/WarsNOps/Levanon6970/Default.aspx
"January 7, 1970",Pricha 1,1,Air Force,,,Helwan,29.848319,31.336853,SA2,Planned,,,,while a 69 Squadron pair attacks Egyptian command posts near�Cairo,,
"January 13, 1970",Pricha 2,1,Air Force,,,,,,,,,,,,,
"January 18, 1970",Pricha 3,1,Air Force,,,,,,,,,,,,,
"January 22, 1970",Rhodes ,2,"Paratroopers,Sayeret Tzanhanim",,Medium,Sheduan Island Military Base,27.5,33.9916667,Raid,Planned,Success,3,30,First operation after the beginning of the IAF bombing campaign ,Helicopters,
"January 23, 1970",Pricha 4,1,Air Force,,,,,,,,,,,,,
"January 28, 1970",Pricha 5,1,Air Force,,,,,,,,,,,,,
"February 2, 1970",Pricha 6,1,Air Force,,,,,,,,,,,,,
"February 6, 1970",Pricha 7,1,Air Force,,,,,,,,,,,,,
"February 6, 1970",Zikukit B,1,Air Force,,,Hurghada,27.257896,33.811607,Attack against mine laying shipPlanned,Planned,,,80,,,
"February 8, 1970",Pricha 8,1,Air Force,,,,,,,,,,,,,
"February 12, 1970",Pricha 9,1,Air Force,,,,,,,,,,,,,
"February 17, 1970",Pricha 10,1,Air Force,,,,,,,,,,,,,
"February 26, 1970",Pricha 11,1,Air Force,,,,,,,,,,,,,
"March 6, 1970",Pricha 12,1,Air Force,,,,,,,,,,,,,
"March 13, 1970",Pricha 13,1,Air Force,,,,,,,,,,,,,
"March 14, 1970",Sergant 2,2,"Sayeret Shaked,Unit 707",,Medium,North of Qantarah 29.8km,26.1333333,29.9166667,Raid,Planned,Success,,,Initiated by Ariel Sharon when he became the commanding general of the Southern command,,
"March 14, 1970",Sergant 3,2,"Sayeret Shaked,Unit 707",,Medium,North of Kunetra 32.4km,26.1333333,29.9166667,Raid,Planned,Failure,2,8,,,
"March 15, 1970",Pricha 15,1,Air Force,,,,,,,,,,,,,
"March 16, 1970",Merylin,1,Sayeret Matkal,,Medium,Nawa,32.8860583,36.0393222,Mines,Planned,Success,,,,Helicopters,
"March 16, 1970",Malka 30,1,Tzanhanim Brigade,,Medium,Al-Qutayfah,33.733333,36.583333,Nartan Mortars,Planned,Success,,5,,Helicopters,
"March 16, 1970",Malka 1,1,Tzanhanim Brigade,,Medium,North of Damsscus,33.7351583,36.5753056,Infrastructure Demolition,Planned,Partial,,,,Helicopters,
"March 26, 1970",Pricha 16,1,Air Force,,,,,,,,,,,,,
"March 31, 1970",Pricha 17,1,Air Force,,,,,,,,,,,,,
"April 3, 1970",Pricha 18,1,Air Force,,,,,,,,,,,,,
"April 8, 1970",Pricha 19,1,Air Force,,,,,,,,,,,,,
"April 10, 1970",Pricha 20,1,Air Force,,,,,,,,,,,,,
"April 13, 1970",Pricha 21,1,Air Force,,,,,,,,,,,,,
"May 12, 1970",Kalahat 2,3,Armor,,Large,,33.2857778,35.6322861,Raid,Planned,Success,36,,,,
"May 16, 1970",Keshet Avir,1,,,,Ras Banas,23.974112,35.460335,Attack against destroyer,,,,,,,
"May 22, 1970",Robinson and Sheshet,1,Sayeret Matkal,,,Safaga,26.7333333,33.9333333,Deep recon,Planned,Failure,,,Attempt to gather information on SA#,Helicopters,
"May 31, 1970",Attack on Port Said,1,,,,Port Said,31.265289,32.301866,,,,,,,,
"June 11, 1970",Victoria,3,Sayeret Shaked,,,32.5km,26.1333333,29.9166667,Raid,Planned,Partial success,4,21,Sharon was critisized for the 4 fatalities and 17 casualties,,
"June 11, 1970",Tarnegol 25c,1,Shayetet 13,,,Military post 25 km north to Ras Ghareb,28.5468611,32.9291944,Raid Demolition,Planned ,Partial success,,1,,,
"June 17, 1970",Shafat 37,1,,,,Nabak 70km north east to Damascus,34.025421,36.734612,Nartan Mortars,Planned,Success,,2,,,
"June 17, 1970",Shafat 47,1,Tzanhanim Brigade,,,Bark,33.1278194,36.2995083,Infrastructure Demolition,Planned,Partial Success,,,,,
"June 23, 1970",Tarnegol 59,,,,,Logistic Military base on the Nile Canal Road,,,Ambush Mortars,Planned,Partial success,,10,US condemnation of Israel for violating a commitment not to carry out raids.,,
"December 27, 1970",Raid on Yatar,2,Golani,,Large,Yatar,33.1540722,35.3285611,Raid,Planned,Success,,,,,
"September 16, 1972",Kalahat Murhevet 4,5,"Golani,Sayeret Egoz",,Large,Fatahland,33.2555444,35.4461444,Raid,Planned,Success,,,,,
"February 21, 1973",Bardas 54-55,,"Shayetet 13,Sayeret Tzanhanim",,,,,,,,,,,,,
"April 10, 1973",Spring of Youth,,"Sayeret Matkal,Shayetet 13,Unit 707,Sayeret Tzanhanim",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
